X_times,Y-amplitude
4.835,108.89736528670579
4.84,151.4385141569845
4.845,193.888362367908
4.85,236.222726254584
4.855,278.4146621377928
4.86,320.4338557187852
4.865,362.2460647212492
4.87,403.81262329821783
4.875,445.09001173989265
4.88,486.0294904790453
4.885,526.5767946382701
4.89,566.6718852770093
4.895,606.2487559761855
4.9,645.2352974073951
4.905,683.5532266313359
4.91,721.1180907204752
4.915,757.83935496777
4.92,793.6205840814921
4.925,828.3597206918683
4.93,861.9494601226197
4.935,894.2777150697902
4.94,925.2281600184554
4.945,954.6808438934394
4.95,982.5128607906969
4.955,1008.5990720963327
4.96,1032.8128776031144
4.965,1055.0270367689384
4.97,1075.1145427457818
4.975,1092.9495507573974
4.98,1108.4083590796126
4.985,1121.3704360609925
4.99,1131.7194814896632
4.995,1139.3445065136414
5.0,1144.1409143959015
5.005,1146.0115651902663
5.01,1144.8678107113215
5.015,1140.6304908912828
5.02,1133.2308872330088
5.025,1122.611632081492
5.03,1108.7275729081236
5.035,1091.5465886918023
5.04,1071.0503516117926
5.045,1047.2350229287779
5.05,1020.111868414971
5.055,989.7077770259857
5.06,956.0656672849406
5.065,919.2447690704081
5.07,879.3207734821309
5.075,836.3858489637165
5.08,790.5485264058071
5.085,741.9334583161458
5.09,690.6810569052825
5.095,636.9470136344098
5.1,580.9016995615157
5.105,522.7294429980496
5.11,462.62767961119744
5.115,400.80597078129927
5.12,337.48488884850235
5.125,272.89477248330223
5.13,207.2743610010798
5.135,140.86932206835837
5.14,73.93069221104648
5.145,6.713253380282854
5.15,-60.52612892427801
5.155,-127.53018032146502
5.16,-194.04288141445207
5.165,-259.811101082961
5.17,-324.5861841119355
5.175,-388.1254825693152
5.18,-450.1938237362776
5.185,-510.5649090233027
5.19,-569.0226379542735
5.195,-625.3623493044132
5.2,-679.3919686716665
5.205,-730.9330492236859
5.21,-779.8216911568795
5.215,-825.9093263373474
5.22,-869.0633578866683
5.225,-909.1676495373825
5.23,-946.1228652036559
5.235,-979.8466640603147
5.24,-1010.2737594853394
5.245,-1037.3558510474918
5.25,-1061.0614374813995
5.255,-1081.3755159642658
5.26,-1098.299170011913
5.265,-1111.8490461299787
5.27,-1122.0567190218883
5.275,-1128.9679471633729
5.28,-1132.641824630125
5.285,-1133.149840201801
5.29,-1130.5748595253024
5.295,-1125.0100491809549
5.3,-1116.5577621205414
5.305,-1105.3284021105724
5.31,-1091.4392811243993
5.315,-1075.0134791715122
5.32,-1056.1787120843665
5.325,-1035.0662103575512
5.33,-1011.8096118850581
5.335,-986.5438733945392
5.34,-959.4042088459263
5.345,-930.5250668505035
5.35,-900.0391619603789
5.355,-868.076575395127
5.36,-834.7639389311532
5.365,-800.2237116568624
5.37,-764.573554152346
5.375,-727.9257996407418
5.38,-690.3870178655692
5.385,-652.0576656310443
5.39,-613.0318183759703
5.395,-573.3969795041214
5.4,-533.233967568556
5.405,-492.61688455017355
5.41,-451.61317013022193
5.415,-410.2837462506268
5.42,-368.6832533785799
5.425,-326.8603754599333
5.43,-284.8582457172128
5.435,-242.7149214486388
5.44,-200.46391375377985
5.445,-158.1347581250045
5.45,-115.75361405903521
5.455,-73.34388561612838
5.46,-30.9268590138824
5.465,11.477643431595173
5.47,53.85059245308931
5.475,96.17306470182592
